Manufacturer	"Brand (if applicable)"	Model Name	AHRI Certificate No.	Outdoor Unit Model	Indoor Unit Model(s)	AHRI Type	HSPF (Region IV):	SEER	EER (@ 95°F)	Cooling Capacity (Btuh)	ENERGY STAR Certified	Ductless or Centrally Ducted	"If Ductless, Multi-zone or Single-zone?"	Ductless Indoor Type		Minimum Capacity 47°F	Rated Capacity 47°F	Maximum Capacity 47°F	Input Power at Min. Capcaity 47°F	Rated Input Power 47°F	Input Power at Max. Capacity 47°F	COP at Min. Capacity 47°F	COP at Rated Capacity 47°F	COP at Max. Capacity 47°F		Minimum Capacity 17°F	Rated Capacity 17°F	Maximum Capacity 17°F	Input Power at Min. Capacity 17°F	Input Power at Rated Capacity 17°F	Input Power at Max. Capacity 17°F	COP at Min. Capacity 17°F	COP at Rated Capacity 17°F	COP at Max. Capacity 17°F		Minimum Capacity 5°F		Maximum Capacity 5°F	Input Power at Min. Capacity 5°F		Input Power at Max. Capacity  5°F	COP at Min. Capacity 5°F		COP at Max. Capacity 5°F		Maintenance Capacity (Max 5°F/Max 47°F)	Maintenance Capacity (Max 5°F/Max 17°F)		Integrated or Accessory (provide model #)	Input Power (W)	What determines when heater operates?		Outdoor Dry Bulb (°F)	Minimum Capactity X°F		Maximum Capacity X°F	Input Power at Min. Capacity X°F		Input Power at Max. Capacity X°F	COP at Min. Capacity X°F		COP at Max. Capacity X°F						
GD Midea Air-Conditioning Equipment Co.	Lennox	ML-Series	9920038	MLA009S4S-1P	MWMA009S4-2P	HRCU-A-CB-O	10.5	24	14.5	"9,000"	Yes	Ductless	Single-zone	Mini-Splits		"2,750"	"10,900"	"14,360"	0.16	0.83	1.35	5.07	3.86	3.12		"2,200"	"6,900"	"12,115"	0.19	0.74	1.82	3.38	2.74	1.96		"1,925"		"10,830"	0.17		1.70	3.28		1.87		75%	89%		Integrated 	150	"1.When the unit power is on/in heating mode,and if the outdoor temperature drops below 3oC for 30 seconds,after running for 25mins, the base pan heater will be actived for 5 minutes. 2.In defrost mode and the outdoor temperature lower 1oC for 10 seconds the base pan heater will be actived and will be 5 mins delay inactive after defrost."		N/A															
GD Midea Air-Conditioning Equipment Co.	Lennox	MP-Series	10058830	MPB009S4S-1P	M22A009S4-1P	HRCU-A-CB-O	10.5	20	13	"9,000"	Yes	Ductless	Single-zone	Mini-Splits		"3,038"	"10,000"	"12,680"	0.15	0.85	1.34	5.86	3.45	2.78		"2,412"	"5,800"	"8,912"	0.18	0.64	1.20	3.97	2.66	2.17		"2,102"		"7,878"	0.16		1.17	3.87		1.97		62%	88%		Integrated 	150	"1.When the unit power is on/in heating mode,and if the outdoor temperature drops below 3oC for 30 seconds,after running for 25mins, the base pan heater will be actived for 5 minutes.  2.In defrost mode and the outdoor temperature lower 1oC for 10 seconds the base pan heater will be actived and will be 5 mins delay inactive after defrost."		N/A															
GD Midea Air-Conditioning Equipment Co.	Lennox	MP-Series	10058831	MPB009S4S-1P	M22A009S4-2P	HRCU-A-CB-O	10.5	20	13	"9,000"	Yes	Ductless	Single-zone	Mini-Splits		"3,038"	"10,000"	"12,680"	0.15	0.85	1.34	5.86	3.45	2.78		"2,412"	"5,800"	"8,912"	0.18	0.64	1.20	3.97	2.66	2.17		"2,102"		"7,878"	0.16		1.17	3.87		1.97		62%	88%		Integrated 	150	"1.When the unit power is on/in heating mode,and if the outdoor temperature drops below 3oC for 30 seconds,after running for 25mins, the base pan heater will be actived for 5 minutes. 2.In defrost mode and the outdoor temperature lower 1oC for 10 seconds the base pan heater will be actived and will be 5 mins delay inactive after defrost."		N/A															
GD Midea Air-Conditioning Equipment Co.	Lennox	MP-Series	10058832	MPB012S4S-1P	M22A012S4-1P	HRCU-A-CB-O	10.5	21.5	14	"12,000"	Yes	Ductless	Single-zone	Mini-Splits		"3,883"	"12,000"	"17,120"	0.18	0.90	1.69	6.29	3.90	2.96		"3,086"	"7,500"	"12,012"	0.22	0.82	1.52	4.13	2.68	2.31		"2,695"		"8,462"	0.20		1.31	3.93		1.89		49%	70%		Integrated 	150	"1.When the unit power is on/in heating mode,and if the outdoor temperature drops below 3oC for 30 seconds,after running for 25mins, the base pan heater will be actived for 5 minutes. 2.In defrost mode and the outdoor temperature lower 1oC for 10 seconds the base pan heater will be actived and will be 5 mins delay inactive after defrost."		N/A															
GD Midea Air-Conditioning Equipment Co.	Lennox	MP-Series	10058833	MPB012S4S-1P	M22A012S4-2P	HRCU-A-CB-O	10.5	21.5	14	"12,000"	Yes	Ductless	Single-zone	Mini-Splits		"3,883"	"12,000"	"17,120"	0.18	0.90	1.69	6.29	3.90	2.96		"3,086"	"7,500"	"12,012"	0.22	0.82	1.52	4.13	2.68	2.31		"2,695"		"8,462"	0.20		1.31	3.93		1.89		49%	70%		Integrated 	150	"1.When the unit power is on/in heating mode,and if the outdoor temperature drops below 3oC for 30 seconds,after running for 25mins, the base pan heater will be actived for 5 minutes. 2.In defrost mode and the outdoor temperature lower 1oC for 10 seconds the base pan heater will be actived and will be 5 mins delay inactive after defrost."		N/A															
GD Midea Air-Conditioning Equipment Co.	Lennox	MP-Series	10058836	MPB024S4S-1P	M33A024S4-1P	HRCU-A-CB-O	10.5	20	12.5	"24,000"	Yes	Ductless	Single-zone	Mini-Splits		"7,050"	"24,400"	"32,546"	0.45	2.04	3.37	4.61	3.50	2.83		"5,712"	"15,800"	"18,628"	0.54	1.81	2.64	3.09	2.56	2.07		"4,886"		"15,327"	0.50		2.40	2.89		1.88		47%	82%		Integrated 	150	"1.When the unit power is on/in heating mode,and if the outdoor temperature drops below 3oC for 30 seconds,after running for 25mins, the base pan heater will be actived for 5 minutes. 2.In defrost mode and the outdoor temperature lower 1oC for 10 seconds the base pan heater will be actived and will be 5 mins delay inactive after defrost."		N/A															
GD Midea Air-Conditioning Equipment Co.	Lennox	MP-Series	10058836	MPB024S4S-1P	M33A024S4-2P	HRCU-A-CB-O	10.5	20	12.5	"24,000"	Yes	Ductless	Single-zone	Mini-Splits		"7,050"	"24,400"	"32,546"	0.45	2.04	3.37	4.61	3.50	2.83		"5,712"	"15,800"	"18,628"	0.54	1.81	2.64	3.09	2.56	2.07		"4,886"		"15,327"	0.50		2.40	2.89		1.88		47%	82%		Integrated 	150	"1.When the unit power is on/in heating mode,and if the outdoor temperature drops below 3oC for 30 seconds,after running for 25mins, the base pan heater will be actived for 5 minutes. 2.In defrost mode and the outdoor temperature lower 1oC for 10 seconds the base pan heater will be actived and will be 5 mins delay inactive after defrost."		N/A															
GD Midea Air-Conditioning Equipment Co.	Lennox	MP-Series	10058825	MPB018S4S-1P	MCFB018S4-2P	HRCU-A-CB-O	10.5	20	12.5	"18,000"	Yes	Ductless	Single-zone	Mini-Splits		"4,826"	"18,000"	"23,011"	0.24	1.55	2.43	5.94	3.40	2.78		"3,964"	"12,000"	"14,923"	0.28	1.30	1.83	4.12	2.70	2.39		"3,423"		"10,274"	0.25		1.43	3.97		2.10		45%	69%		Integrated 	150	"1.When the unit power is on/in heating mode,and if the outdoor temperature drops below 3oC for 30 seconds,after running for 25mins, the base pan heater will be actived for 5 minutes. 2.In defrost mode and the outdoor temperature lower 1oC for 10 seconds the base pan heater will be actived and will be 5 mins delay inactive after defrost."		N/A															
GD Midea Air-Conditioning Equipment Co.	Lennox	ML-Series	9920055	MLA036S4M-1P	Non-Ducted Indoor Units	HRCU-A-CB-O	10.5	21.5	13.5	"36,000"	Yes	Ductless	Multi-zone	Non-ducted Indoor Units		"7,210"	"36,000"	"50,350"	1.02	2.78	4.64	2.07	3.80	3.18		"6,845"	"23,200"	"38,125"	1.09	2.45	5.50	1.84	2.78	2.03		"6,425"		"36,000"	1.15		5.38	1.64		1.96		71%	94%		Integrated 	150	"1.When the unit power is on/in heating mode,and if the outdoor temperature drops below 3oC for 30 seconds,after running for 25mins, the base pan heater will be actived for 5 minutes. 2.In defrost mode and the outdoor temperature lower 1oC for 10 seconds the base pan heater will be actived and will be 5 mins delay inactive after defrost."		N/A															
GD Midea Air-Conditioning Equipment Co.	Lennox	MP-Series	10058816	MPB009S4S-1P	ducted indoor units	HMSV-A-CB	10.5	19.5	13.5	"9,000"	Yes	Ductless	Multi-zone	Ducted Indoor Units		"3,056"	"10,000"	"12,764"	0.17	0.72	1.34	5.40	4.08	2.79		"2,588"	"6,200"	"8,991"	0.18	0.64	1.21	4.31	2.84	2.17		"2,312"		"8,071"	0.16		1.18	4.13		2.00		63%	90%		Integrated 	150	"1.When the unit power is on/in heating mode,and if the outdoor temperature drops below 3oC for 30 seconds,after running for 25mins, the base pan heater will be actived for 5 minutes. 2.In defrost mode and the outdoor temperature lower 1oC for 10 seconds the base pan heater will be actived and will be 5 mins delay inactive after defrost."		N/A															
GD Midea Air-Conditioning Equipment Co.	Lennox	MP-Series	10058821	MPB024S4S-1P	ducted indoor units	HMSV-A-CB	10.5	20	12.5	"24,000"	Yes	Ductless	Multi-zone	Ducted Indoor Units		"7,020"	"24,400"	"32,812"	0.45	1.99	3.38	4.55	3.60	2.85		"5,862"	"16,800"	"18,826"	0.54	1.85	2.73	3.18	2.66	2.02		"5,028"		"15,682"	0.49		2.50	3.00		1.84		48%	83%		Integrated 	150	"1.When the unit power is on/in heating mode,and if the outdoor temperature drops below 3oC for 30 seconds,after running for 25mins, the base pan heater will be actived for 5 minutes.2.In defrost mode and the outdoor temperature lower 1oC for 10 seconds the base pan heater will be actived and will be 5 mins delay inactive after defrost."		N/A															
GD Midea Air-Conditioning Equipment Co.	Lennox	MP-Series	10056169	MPB009S4S-1P	MWMA009S4-1P	HRCU-A-CB-O	10.8	23.5	14.9	"9,000"	Yes	Ductless	Single-zone	Mini-Splits		"3,009"	"9,800"	"12,700"	0.14	0.76	1.33	6.12	3.80	2.80		"2,407"	"5,800"	"8,890"	0.17	0.62	1.10	4.08	2.76	2.37		"2,106"		"7,990"	0.16		1.18	3.96		1.99		63%	90%		Integrated 	150	"1.When the unit power is on/in heating mode,and if the outdoor temperature drops below 3oC for 30 seconds,after running for 25mins, the base pan heater will be actived for 5 minutes.2.In defrost mode and the outdoor temperature lower 1oC for 10 seconds the base pan heater will be actived and will be 5 mins delay inactive after defrost."		N/A															
GD Midea Air-Conditioning Equipment Co.	Lennox	MP-Series	10056170	MPB009S4S-1P	MWMA009S4-2P	HRCU-A-CB-O	10.8	23.5	14.9	"9,000"	Yes	Ductless	Single-zone	Mini-Splits		"3,009"	"9,800"	"12,700"	0.14	0.76	1.33	6.12	3.80	2.80		"2,407"	"5,800"	"8,890"	0.17	0.62	1.10	4.08	2.76	2.37		"2,106"		"7,990"	0.16		1.18	3.96		1.99		63%	90%		Integrated 	150	"1.When the unit power is on/in heating mode,and if the outdoor temperature drops below 3oC for 30 seconds,after running for 25mins, the base pan heater will be actived for 5 minutes.2.In defrost mode and the outdoor temperature lower 1oC for 10 seconds the base pan heater will be actived and will be 5 mins delay inactive after defrost."		N/A															
GD Midea Air-Conditioning Equipment Co.	Lennox	MP-Series	10058826	MPB024S4S-1P	MCFA024S4-1P	HRCU-A-CB-O	11	20	12.5	"24,000"	Yes	Ductless	Single-zone	Mini-Splits		"7,002"	"24,000"	"32,821"	0.45	1.73	3.37	4.58	4.06	2.86		"5,592"	"15,000"	"18,214"	0.53	1.54	2.54	3.07	2.86	2.10		"4,811"		"17,705"	0.49		2.57	2.90		2.02		54%	97%		Integrated 	150	"1.When the unit power is on/in heating mode,and if the outdoor temperature drops below 3oC for 30 seconds,after running for 25mins, the base pan heater will be actived for 5 minutes.2.In defrost mode and the outdoor temperature lower 1oC for 10 seconds the base pan heater will be actived and will be 5 mins delay inactive after defrost."		N/A															
GD Midea Air-Conditioning Equipment Co.	Lennox	MP-Series	10058827	MPB024S4S-1P	MCFA024S4-2P	HRCU-A-CB-O	11	20	12.5	"24,000"	Yes	Ductless	Single-zone	Mini-Splits		"7,002"	"24,000"	"32,821"	0.45	1.73	3.37	4.58	4.06	2.86		"5,592"	"15,000"	"18,214"	0.53	1.54	2.54	3.07	2.86	2.10		"4,811"		"17,705"	0.49		2.57	2.90		2.02		54%	97%		Integrated 	150	"1.When the unit power is on/in heating mode,and if the outdoor temperature drops below 3oC for 30 seconds,after running for 25mins, the base pan heater will be actived for 5 minutes.2.In defrost mode and the outdoor temperature lower 1oC for 10 seconds the base pan heater will be actived and will be 5 mins delay inactive after defrost."		N/A															
GD Midea Air-Conditioning Equipment Co.	Lennox	MP-Series	10056171	MPB012S4S-1P	MWMA012S4-1P	HRCU-A-CB-O	11	22.7	13.7	"12,000"	Yes	Ductless	Single-zone	Mini-Splits		"3,880"	"12,000"	"17,300"	0.18	1.00	1.68	6.42	3.52	3.02		"3,104"	"7,700"	"12,110"	0.21	0.82	1.41	4.29	2.77	2.51		"2,716"		"9,134"	0.19		1.38	4.15		1.94		53%	75%		Integrated 	150	"1.When the unit power is on/in heating mode,and if the outdoor temperature drops below 3oC for 30 seconds,after running for 25mins, the base pan heater will be actived for 5 minutes.2.In defrost mode and the outdoor temperature lower 1oC for 10 seconds the base pan heater will be actived and will be 5 mins delay inactive after defrost."		N/A															
GD Midea Air-Conditioning Equipment Co.	Lennox	MP-Series	10056172	MPB012S4S-1P	MWMA012S4-2P	HRCU-A-CB-O	11	22.7	13.7	"12,000"	Yes	Ductless	Single-zone	Mini-Splits		"3,880"	"12,000"	"17,300"	0.18	1.00	1.68	6.42	3.52	3.02		"3,104"	"7,700"	"12,110"	0.21	0.82	1.41	4.29	2.77	2.51		"2,716"		"9,134"	0.19		1.38	4.15		1.94		53%	75%		Integrated 	150	"1.When the unit power is on/in heating mode,and if the outdoor temperature drops below 3oC for 30 seconds,after running for 25mins, the base pan heater will be actived for 5 minutes.2.In defrost mode and the outdoor temperature lower 1oC for 10 seconds the base pan heater will be actived and will be 5 mins delay inactive after defrost."		N/A															
GD Midea Air-Conditioning Equipment Co.	Comfort-Aire/Century		8779092	A-VMH09SU-1	B-VMH09SU-1	HRCU-A-CB-O	11.2	25	14.5	"9,000"	Yes	Ductless	Single-zone	Mini-Splits		"4,185"	"10,900"	"15,365"	0.23	0.83	1.43	5.26	3.86	3.16		"6,900"	"6,900"	"12,575"	0.74	0.74	1.85	2.74	2.74	1.99		"10,720"		"11,680"	1.76		1.95	1.78		1.76		76%	93%		Integrated	150	"1.When the unit power on and changed in heating mode,and if the outdoor temperature continue lower than 3C for 30 seconds,after running for 25mins, the base pan heater will be actived for 5 minutes.2.If be on the defrost mode and the outdoor temperature lower 1C for 10 seconds the base pan heater will be actived and will be 5 mins delay inactive after defrost."		N/A															
GD Midea Air-Conditioning Equipment Co.	Lennox	MP-Series	10056167	MPB009S4S-1L	MWMB009S4-1L	HRCU-A-CB-O	11.2	24.5	15	"9,500"	Yes	Ductless	Single-zone	Mini-Splits		"3,550"	"11,000"	"14,500"	0.15	0.86	1.65	6.89	3.74	2.58		"2,840"	"6,500"	"10,150"	0.18	0.68	1.38	4.60	2.82	2.16		"2,485"		6776	0.16		1.02	4.47		1.95		47%	67%		Integrated 	150	"1.When the unit power is on/in heating mode,and if the outdoor temperature drops below 3oC for 30 seconds,after running for 25mins, the base pan heater will be actived for 5 minutes.2.In defrost mode and the outdoor temperature lower 1oC for 10 seconds the base pan heater will be actived and will be 5 mins delay inactive after defrost."		N/A															
GD Midea Air-Conditioning Equipment Co.	Willis		9038618	WUHO09KW25S	WUHI09KHW	HRCU-A-CB-O	11.2	25	14.5	"9,000"	Yes	Ductless	Single-zone	Mini-Splits		"4,185"	"10,900"	"15,365"	0.23	0.83	1.43	5.26	3.86	3.16		"6,900"	"6,900"	"12,575"	0.74	0.74	1.85	2.74	2.74	1.99		"10,720"		"11,680"	1.76		1.95	1.78		1.76		76%	93%		Integrated	150	"1.When the unit power is on/in heating mode,and if the outdoor temperature drops below 3C for 30 seconds,after running for 25mins, the base pan heater will be actived for 5 minutes.2.In defrost mode and the outdoor temperature lower 1C for 10 seconds the base pan heater will be actived and will be 5 mins delay inactive after defrost."		N/A		z													
GD Midea Air-Conditioning Equipment Co.	Comfort-Aire/Century		8779089	A-VMH24SU-1	B-VMH24SU-1	HRCU-A-CB-O	11.5	20.5	13	"24,000"	Yes	Ductless	Single-zone	Mini-Splits		"11,795"	"24,000"	"29,680"	0.69	1.95	3.20	5.03	3.60	2.72		"15,400"	"15,400"	"25,710"	1.64	1.64	3.86	2.76	2.76	1.95		"23,260"		"24,590"	3.83		3.98	1.78		1.81		83%	96%		Integrated	150	"1.When the unit power on and changed in heating mode,and if the outdoor temperature continue lower than 3C for 30 seconds,after running for 25mins, the base pan heater will be actived for 5 minutes.2.If be on the defrost mode and the outdoor temperature lower 1C for 10 seconds the base pan heater will be actived and will be 5 mins delay inactive after defrost."		N/A															
GD Midea Air-Conditioning Equipment Co.	Lennox	MP-Series	10056175	MPB024S4S-1P	MWMA024S4-1P	HRCU-A-CB-O	11.5	20.7	13.7	"24,000"	Yes	Ductless	Single-zone	Mini-Splits		"7,100"	"25,000"	"32,890"	0.44	1.96	3.35	4.73	3.74	2.88		"5,680"	"15,300"	"18,925"	0.53	1.66	2.62	3.15	2.70	2.12		"4,970"		"18,099"	0.48		2.56	3.07		2.07		55%	96%		Integrated 	150	"1.When the unit power is on/in heating mode,and if the outdoor temperature drops below 3oC for 30 seconds,after running for 25mins, the base pan heater will be actived for 5 minutes.2.In defrost mode and the outdoor temperature lower 1oC for 10 seconds the base pan heater will be actived and will be 5 mins delay inactive after defrost."		N/A															
GD Midea Air-Conditioning Equipment Co.	Lennox	MP-Series	10056176	MPB024S4S-1P	MWMA024S4-2P	HRCU-A-CB-O	11.5	20.7	13.7	"24,000"	Yes	Ductless	Single-zone	Mini-Splits		"7,100"	"25,000"	"32,890"	0.44	1.96	3.35	4.73	3.74	2.88		"5,680"	"15,300"	"18,925"	0.53	1.66	2.62	3.15	2.70	2.12		"4,970"		"18,099"	0.48		2.56	3.07		2.07		55%	96%		Integrated 	150	"1.When the unit power is on/in heating mode,and if the outdoor temperature drops below 3oC for 30 seconds,after running for 25mins, the base pan heater will be actived for 5 minutes.2.In defrost mode and the outdoor temperature lower 1oC for 10 seconds the base pan heater will be actived and will be 5 mins delay inactive after defrost."		N/A															
GD Midea Air-Conditioning Equipment Co.	Willis		9038621	WUHO24KW20S	WUHI24KHW	HRCU-A-CB-O	11.5	20.5	13	"24,000"	Yes	Ductless	Single-zone	Mini-Splits		"11,795"	"24,000"	"29,680"	0.69	1.95	3.20	5.03	3.60	2.72		"15,400"	"15,400"	"25,710"	1.64	1.64	3.86	2.76	2.76	1.95		"23,260"		"24,590"	3.83		3.98	1.78		1.81		83%	96%		Integrated	150	"1.When the unit power is on/in heating mode,and if the outdoor temperature drops below 3C for 30 seconds,after running for 25mins, the base pan heater will be actived for 5 minutes.2.In defrost mode and the outdoor temperature lower 1C for 10 seconds the base pan heater will be actived and will be 5 mins delay inactive after defrost."		N/A		z													
GD Midea Air-Conditioning Equipment Co.	Comfort-Aire/Century		8779091	B-VMH12SU-1	A-VMH12SU-1	HRCU-A-CB-O	12	22.5	13	"12,000"	Yes	Ductless	Single-zone	Mini-Splits		"4,110"	"11,800"	"15,570"	0.23	0.98	1.40	5.30	3.54	3.27		"7,800"	"7,800"	"14,140"	0.87	0.87	1.88	2.64	2.64	2.21		"11,800"		"12,010"	1.98		1.96	1.75		1.80		77%	85%		Integrated 	150	"1.When the unit power on and changed in heating mode,and if the outdoor temperature continue lower than 3C for 30 seconds,after running for 25mins, the base pan heater will be actived for 5 minutes.2.If be on the defrost mode and the outdoor temperature lower 1C for 10 seconds the base pan heater will be actived and will be 5 mins delay inactive after defrost."		N/A															
GD Midea Air-Conditioning Equipment Co.	Willis		9038619	WUHO12KW22S	WUHI12KHW	HRCU-A-CB-O	12	22.5	12.5	"12,000"	Yes	Ductless	Single-zone	Mini-Splits		"4,110"	"11,800"	"15,570"	0.23	0.98	1.40	5.30	3.54	3.27		"7,800"	"7,800"	"14,140"	0.87	0.87	1.88	2.64	2.64	2.21		"11,800"		"12,010"	1.98		1.96	1.75		1.80		77%	85%		Integrated 	150	"1.When the unit power is on/in heating mode,and if the outdoor temperature drops below 3C for 30 seconds,after running for 25mins, the base pan heater will be actived for 5 minutes.2.In defrost mode and the outdoor temperature lower 1C for 10 seconds the base pan heater will be actived and will be 5 mins delay inactive after defrost."		N/A		z													
GD Midea Air-Conditioning Equipment Co.	Lennox	MP-Series	10056168	MPB012S4S-1L	MWMB012S4-1L	HRCU-A-CB-O	13	22	10.2	"12,000"	Yes	Ductless	Single-zone	Mini-Splits		"3,690"	"12,000"	"16,600"	0.17	1.03	1.74	6.36	3.42	2.80		"2,952"	"7,600"	"11,220"	0.20	0.86	1.42	4.24	2.60	2.31		"2,583"		"6,885"	0.18		1.01	4.12		2.01		41%	61%		Integrated 	150	"1.When the unit power is on/in heating mode,and if the outdoor temperature drops below 3oC for 30 seconds,after running for 25mins, the base pan heater will be actived for 5 minutes.2.In defrost mode and the outdoor temperature lower 1oC for 10 seconds the base pan heater will be actived and will be 5 mins delay inactive after defrost."		N/A															
GREE ELECTRIC APPLIANCES INC. OF ZHUHAI	Gree	Extreme Series	9114294	GWH18YE-D3DNA1A/O	GWH18AAE-D3DN***/I	HRCU-A-CB-O	12	24.5	13.5	"18,000"	Yes	Ductless	Singlezone	Mini-Splits		"3,900"	"18,000"	"26,000"	0.32	1.50	3.30	3.57	3.52	2.31		"3,700"	"14,000"	"23,000"	0.31	1.45	3.20	3.50	2.83	2.11		"3,500"		"21,500"	0.30		3.10	3.42		2.03		83%	93%		0	0	0		0	0		0	0.00		0.00	#DIV/0!		#DIV/0!						
GREE ELECTRIC APPLIANCES INC. OF ZHUHAI	TOSOT		10062020	TW18HQ3D6DO	TW18HQ3D6DI 	HRCU-A-CB-O	12	24.5	13.5	"18,000"	YES	Ductless	Single-zone	Mini-Splits		"3,900"	"18,000"	"26,000"	0.32	1.50	3.30	3.57	3.52	2.31		"3,700"	"14,000"	"23,000"	0.31	1.45	3.20	3.50	2.83	2.11		"3,500"		"21,500"	0.30		3.10	3.42		2.03		83%	93%		Integrated	16000%	"Under heating mode, the compressor in opening condition, while the outdoor ambient temperature ia below 0 _, the chassis heating  begin to work."		N/A															
GREE ELECTRIC APPLIANCES INC. OF ZHUHAI	TOSOT		10062021	TW24HQ3D6DO	TW24HQ3D6DI	HRCU-A-CB-O	12	21.5	13	"22,000"	YES	Ductless	Single-zone	Mini-Splits		"6,800"	"24,000"	"32,000"	0.38	2.00	3.70	5.24	3.52	2.53		"4,500"	"15,737"	"26,263"	0.50	1.57	3.38	2.64	2.94	2.28		"4,000"		"22,553"	0.60		3.20	1.95		2.07		70%	86%		Integrated	16000%	"If T outer ring is less than T chassis electric heating open temperature, then the chassis electric heating work_"		N/A															
GREE ELECTRIC APPLIANCES INC. OF ZHUHAI	TOSOT		10062019	TW12HQ3D6DO 	TW12HQ3D6DI	HRCU-A-CB-O	14	30.5	15.3	"12,000"	YES	Ductless	Single-zone	Mini-Splits		"3,000"	"12,200"	"18,700"	0.25	0.94	1.60	3.52	3.80	3.43		"2,800"	"8,100"	"9,000"	0.23	0.74	1.00	3.57	3.21	2.64		"2,600"		"8,000"	0.22		0.86	3.46		2.73		43%	89%		Integrated	72W	Heater on below 34°F		N/A															
GREE ELECTRIC APPLIANCES INC. OF ZHUHAI	TOSOT		10062018	TW09HQ3D6DO 	TW09HQ3D6DI	HRCU-A-CB-O	15	38	16.5	"9,000"	YES	Ductless	Single-zone	Mini-Splits		"2,300"	"9,000"	"13,600"	0.20	0.59	1.50	3.37	4.47	2.66		"3,545"	"5,600"	"14,611"	0.37	0.75	1.78	2.85	2.20	2.40		"1,745"		"12,977"	0.28		1.82	1.83		2.09		95%	89%		Integrated	72W	Heater on below 34°F		N/A															
Haier	Haier	Novel Series	6970203	HSU09VHG(DB)-W	HSU09VHG(DB)-G	HRCU-A-CB-O	10	18	13	"8,500"	Yes	Ductless	Single-zone	Mini-Splits		"4,000"	"9,000"	"10,140"	0.27	0.65	0.82	4.34	4.51	3.62		"3,200"	"5,600"	"7,190"	0.27	0.52	0.64	3.47	3.16	3.29		"2,800"		"6,000"	0.27		0.75	3.04		2.34		59%	83%		N/A				N/A		z													
Haier	Haier	Novel Series	6970204	HSU12VHG(DB)-W	HSU12VHG(DB)-G	HRCU-A-CB-O	10	20	13	"11,900"	Yes	Ductless	Single-zone	Mini-Splits		"4,780"	"12,600"	"14,190"	0.27	0.97	1.12	5.16	3.80	3.71		"3,750"	"9,000"	"10,070"	0.37	1.12	1.20	2.91	2.34	2.45		"2,380"		"6,930"	0.24		0.88	2.82		2.30		49%	69%		N/A				N/A		z													
Haier	Haier	Advanced Series	8028525	1U24ES2VHA	AW24ES2VHA	HRCU-A-CB-O	10	20	12.5	"22,000"	Yes	Ductless	Single-zone	Mini-Splits		"6,800"	"27,700"	"34,800"	0.55	2.35	3.30	3.62	3.45	3.09		"5,800"	"18,500"	"26,000"	0.58	1.90	3.25	2.93	2.85	2.35		"4,700"		"20,500"	0.55		2.80	2.51		2.15		59%	79%		N/A				N/A		z													
Haier	Haier	Arctic Series	8862057	1U18EH2VHA	AW18EH2VHA	HRCU-A-CB-O	10	20	12.5	"19,000"	Yes	Ductless	Single-zone	Mini-Splits		"6,800"	"20,400"	"26,400"	0.55	1.64	3.10	3.62	3.65	2.50		"5,800"	"18,500"	"20,400"	0.58	1.90	2.95	2.93	2.85	2.03		"4,700"		"20,400"	0.55		3.15	2.51		1.90		77%	100%		Integrated	300W	"Mainly depending on outdoor temperature, but also subject to other running parameters, pressure, compressor speed etc."		N/A		z													
Haier	Haier	Advanced Series	8021588	1U12ES2VHA	AW12ES2VHA	HRCU-A-CB-O	11	23	12.5	"12,000"	Yes	Ductless	Single-zone	Mini-Splits		"4,100"	"16,000"	"19,800"	0.23	1.25	1.66	5.33	3.75	3.49		"3,550"	"12,220"	"13,120"	0.33	1.19	1.25	3.11	3.00	3.07		"2,960"		"10,160"	0.30		1.21	2.85		2.46		51%	77%		N/A				N/A		z													
Haier	Haier	Advanced Series	8028490	1U18ES2VHA	AW18ES2VHA	HRCU-A-CB-O	11	21	12.6	"17,000"	Yes	Ductless	Single-zone	Mini-Splits		"5,400"	"22,000"	"26,400"	0.40	1.83	2.90	3.96	3.52	2.67		"4,500"	"14,000"	"19,600"	0.45	1.50	2.70	2.93	2.74	2.13		"3,800"		"14,900"	0.43		2.10	2.59		2.08		56%	76%		N/A				N/A		z													
Haier	Haier	Advanced Series	8028528	1U09ES2VHA	AW09ES2VHA	HRCU-A-CB-O	12	23.5	14.5	"9,000"	Yes	Ductless	Single-zone	Mini-Splits		"4,000"	"10,000"	"15,000"	0.25	0.65	1.20	4.69	4.51	3.66		"3,200"	"7,400"	"10,800"	0.27	0.63	1.10	3.54	3.44	2.88		"2,800"		"10,000"	0.26		1.18	3.16		2.48		67%	93%		N/A				N/A		z													
Haier	Haier	Arctic Series	8862052	1U12EH2VHA	AW12EH2VHA	HRCU-A-CB-O	12	25	13	"12,000"	Yes	Ductless	Single-zone	Mini-Splits		"4,100"	"16,500"	"22,200"	0.23	1.35	1.69	5.34	3.60	3.85		"3,200"	"10,000"	"16,500"	0.33	1.19	1.60	2.84	2.47	3.03		"2,900"		"16,500"	0.30		2.15	2.83		2.25		74%	100%		Integrated	300W	"Mainly depending on outdoor temperature, but also subject to other running parameters, pressure, compressor speed etc."		N/A		z													
