Manufacturer	"Brand (if applicable)"	Model Name	AHRI Certificate No.	Outdoor Unit Model	Indoor Unit Model(s)	AHRI Type	HSPF (Region IV):	SEER	EER (@ 95°F)	Cooling Capacity (Btuh)	ENERGY STAR Certified	Ductless or Centrally Ducted	"If Ductless, Multi-zone or Single-zone?"	Ductless Indoor Type		Minimum Capacity 47°F	Rated Capacity 47°F	Maximum Capacity 47°F	Input Power at Min. Capcaity 47°F	Rated Input Power 47°F	Input Power at Max. Capacity 47°F	COP at Min. Capacity 47°F	COP at Rated Capacity 47°F	COP at Max. Capacity 47°F		Minimum Capacity 17°F	Rated Capacity 17°F	Maximum Capacity 17°F	Input Power at Min. Capacity 17°F	Input Power at Rated Capacity 17°F	Input Power at Max. Capacity 17°F	COP at Min. Capacity 17°F	COP at Rated Capacity 17°F	COP at Max. Capacity 17°F		Minimum Capacity 5°F		Maximum Capacity 5°F	Input Power at Min. Capacity 5°F		Input Power at Max. Capacity  5°F	COP at Min. Capacity 5°F		COP at Max. Capacity 5°F		Maintenance Capacity (Max 5°F/Max 47°F)	Maintenance Capacity (Max 5°F/Max 17°F)		Integrated or Accessory (provide model #)	Input Power (W)	What determines when heater operates?		Outdoor Dry Bulb (°F)	Minimum Capactity X°F		Maximum Capacity X°F	Input Power at Min. Capacity X°F		Input Power at Max. Capacity X°F	COP at Min. Capacity X°F		COP at Max. Capacity X°F						
American Standard	American Standard	AccuComfort Platinum 20	10153442	4A6V0036A1	TEM8A0D48V41+TDR	HRCU-A-CB	10.00	19.50	13.00	35800	Yes	Centrally Ducted	N/A	N/A		8400	31800	33100	0.51	2.48	2.65	4.82	3.76	3.66		15930	25800	26100	1.77	2.48	3.08	2.64	3.05	2.48		16688		20000	2.52		2.98	1.94		1.95		60%	77%																					
American Standard	American Standard	AccuComfort Platinum 20	10153444	4A6V0048A1	TEM8A0C48V41+TDR	HRCU-A-CB	10.00	18.00	12.50	47500	Yes	Centrally Ducted	N/A	N/A		11900	42000	33100	0.76	2.36	2.65	4.58	5.21	3.66		22410	35600	36000	2.56	2.36	4.48	2.56	4.42	2.36		23504		27980	3.62		4.28	1.90		1.90		85%	78%																					
American Standard	American Standard	AccuComfort Platinum 20	10153445	4A6V0048A1	TEM8A0C60V51+TDR	HRCU-A-CB	10.00	18.00	12.50	47000	Yes	Centrally Ducted	N/A	N/A		12200	43500	32100	0.78	2.34	2.35	4.58	5.45	4.00		22520	36200	36600	2.61	2.34	4.57	2.52	4.53	2.34		23504		28100	3.68		4.38	1.88		1.90		88%	77%																					
American Standard	American Standard	AccuComfort Platinum 18	10153453	4A6V8036A1	TEM8A0C36V31+TDR	HRCU-A-CB	10.00	18.00	12.50	35200	Yes	Centrally Ducted	N/A	N/A		8200	31600	42600	0.51	2.40	3.37	4.72	3.86	3.70		15930	25600	25800	1.80	2.40	3.16	2.60	3.13	2.40		16728		20040	2.56		3.02	1.92		1.95		47%	78%																					
American Standard	American Standard	AccuComfort Platinum 18	10153454	4A6V8036A1	TEM8A0C42V41+TDR	HRCU-A-CB	10.00	18.00	12.50	35400	Yes	Centrally Ducted	N/A	N/A		8200	31600	43900	0.51	2.32	3.45	4.72	3.99	3.72		15820	25600	25800	1.84	2.32	3.25	2.52	3.23	2.32		16688		19940	2.62		3.12	1.86		1.85		45%	77%																					
American Standard	American Standard	AccuComfort Platinum 18	10153455	4A6V8036A1	TEM8A0C48V41+TDR	HRCU-A-CB	10.00	18.00	12.50	36200	Yes	Centrally Ducted	N/A	N/A		8000	31000	43600	0.52	2.42	3.38	4.50	3.75	3.78		15820	25400	25700	1.78	2.42	3.11	2.60	3.08	2.42		16788		20040	2.52		3.00	1.96		1.95		46%	78%																					
American Standard	American Standard	AccuComfort Platinum 18	10153456	4A6V8036A1	TEM8A0D48V41+TDR	HRCU-A-CB	10.00	18.00	12.50	35400	Yes	Centrally Ducted	N/A	N/A		8300	31600	43200	0.51	2.46	3.43	4.76	3.76	3.70		15930	25800	26100	1.78	2.46	3.11	2.62	3.07	2.46		16788		20100	2.52		3.00	1.96		1.95		47%	77%																					
American Standard	American Standard	AccuComfort Platinum 18	10153458	4A6V8037A1	TEM8A0C36V31+TDR	HRCU-A-CB	10.00	18.00	12.50	35400	Yes	Centrally Ducted	N/A	N/A		8200	31800	31200	0.51	2.44	2.38	4.72	3.82	3.84		15380	25600	25500	1.75	2.44	3.06	2.58	3.07	2.44		16182		19500	2.48		2.94	1.92		1.95		63%	76%																					
American Standard	American Standard	AccuComfort Platinum 18	10153459	4A6V8037A1	TEM8A0C42V41+TDR	HRCU-A-CB	10.00	18.00	12.50	35600	Yes	Centrally Ducted	N/A	N/A		8300	31400	31300	0.52	2.32	2.35	4.68	3.97	3.90		15490	25200	25400	1.82	2.32	3.20	2.50	3.18	2.32		16182		19400	2.58		3.06	1.84		1.85		62%	76%																					
American Standard	American Standard	AccuComfort Platinum 18	10153460	4A6V8037A1	TEM8A0C48V41+TDR	HRCU-A-CB	10.00	18.00	12.50	35600	Yes	Centrally Ducted	N/A	N/A		8200	31000	32300	0.52	2.40	2.31	4.62	3.78	4.10		15600	25200	25600	1.78	2.40	3.12	2.56	3.08	2.40		16382		19700	2.52		2.98	1.90		1.95		61%	77%																					
