General Information													Condition 1 Performance - (47¡F/70¡F)										Condition 2 Performance - (17¡F/70¡F)										Condition 3 Performance - (5¡F/70¡F)*										Pan Heater Data				OPTIONAL Condition 4 Performance - (X¡F/70¡F)*									
Manufacturer	Brand	AHRI Certificate No.	Outdoor Unit Model	Indoor Unit Model(s)	Variable Capacity	HSPF (Region IV):	SEER	EER (@ 95¡F)	ENERGY STAR Certified	Ductless or Ducted	Multi-zone or Single-zone?		Capacity (btu/hr)			Input Power (kW)			COP				Capacity (btu/hr)			Input Power (kW)			COP				Capacity (btu/hr)			Input Power (kW)			COP				Integrated or Accessory (provide model #)	Input Power (W)	What determines when heater operates?		Outdoor Dry Bulb (¡F)	Capacity (btu/hr)			Input Power (kW)			COP		
													Minimum	Rated	Maximum	Minimum	Rated	Maximum	Minimum	Rated	Maximum		Minimum	Rated	Maximum	Minimum	Rated	Maximum	Minimum	Rated	Maximum		Minimum		Maximum	Minimum		Maximum	Minimum		Maximum							Minimum		Maximum	Minimum		Maximum	Minimum		Maximum
Carrier Corporation	Bryant	7029862	280ANV036000	FE4ANB006L	Yes	13	20.5	14.5	Yes	Ducted	N/A		"13,340"	"33,400"	"33,400"	0.95	2.23	2.23	4.12	4.40	4.40		"13,250"	"31,600"	"31,600"	1.83	3.65	3.65	2.12	2.54	2.54		"10,670"		"23,600"	1.88		3.14	1.66		2.20		N/A				N/A									
Carrier Corporation	Bryant	7029863	280ANV048000	FE4ANB006L	Yes	12.5	18.3	13.5	Yes	Ducted	N/A		"24,370"	"45,500"	"45,500"	1.59	3.24	3.24	4.49	4.12	4.12		"23,840"	"47,500"	"47,500"	2.66	3.35	6.27	2.63	2.22	2.22		"19,230"		"38,070"	2.55		4.97	2.21		2.24		N/A				N/A									
Carrier Corporation	Bryant	7029861	280ANV060000	FE4ANB006L	Yes	12	18	12.7	Yes	Ducted	N/A		"24,690"	"55,500"	"55,500"	1.75	4.22	4.22	4.14	3.86	3.86		"24,160"	"52,500"	"52,500"	2.93	6.94	6.94	2.42	2.22	2.22		"19,480"		"40,270"	2.81		5.93	2.03		1.99		N/A				N/A									
Carrier Corporation	Carrier	7992954	38GRQB09---301	40GRQB09H--301	Yes	10.3	30.5	15.7	Yes	Ductless	Singlezone		"2,388"	"9,000"	"13,240"	0.20	0.61	1.35	3.50	4.32	2.89		"2,388"	"5,500"	"13,240"	0.20	0.56	1.35	3.50	2.89	2.89		"2,388"		"10,488"	0.40		1.55	1.75		1.98		Integrated	3000	"The heater will operated based on temperature, it will activate at 37F outdoor ambient and below."		-22	"2,388"		"8,560"	0.60		1.37	1.17		1.84
Carrier Corporation	Carrier	7992956	38GRQB12---301	40GRQB12H--301	Yes	10.3	23	12.7	Yes	Ductless	Singlezone		"3,071"	"13,000"	"13,240"	0.20	1.21	1.35	4.50	3.14	2.89		"3,071"	"8,500"	"13,240"	0.20	0.97	1.35	4.50	2.56	2.89		"3,071"		"12,090"	0.40		1.69	2.25		2.09		Integrated	3000	"The heater will operated based on temperature, it will activate at 37F outdoor ambient and below."		-22	"3,071"		"9,750"	0.60		1.45	1.50		1.97
Carrier Corporation	Carrier	7992958	38GRQB18---301	40GRQB18H--301	Yes	10.3	21	12.5	Yes	Ductless	Singlezone		"3,753"	"19,000"	"24,566"	0.35	1.80	2.50	1.10	3.10	2.88		"3,753"	"12,717"	"24,566"	0.35	1.49	2.50	1.10	2.50	2.88		"3,753"		"19,190"	0.55		1.97	2.00		2.85		Integrated	3000	"The heater will operated based on temperature, it will activate at 37F outdoor ambient and below."		-22	"3,753"		"15,430"	0.75		2.14	1.47		2.11
Fujitsu		8033584	AOU18RLXFZH	Non-Ducted Indoor Units	Yes	10.3	21.5	13.5	Yes	Ductless	Multi-zone		"6,200"	"22,000"	"24,400"	0.52	1.70	2.02	3.85	3.80	3.54		"6,619"	"14,200"	"23,500"	0.81	1.60	3.18	2.40	2.60	2.16		"6,210"		"22,000"	0.89		3.49	2.04		1.85		Integrated	150	Cold outside & demand		-15	"3,378"	z	"12,000"	0.55		2.14	1.80		1.64
Fujitsu		8033586	AOU24RLXFZH	Non-Ducted Indoor Units	Yes	10.3	20	13.3	Yes	Ductless	Multi-zone		"6,200"	"25,000"	"29,800"	0.50	1.81	2.85	4.00	4.04	3.06		"6,005"	"15,400"	"26,000"	0.62	1.73	3.57	2.84	2.60	2.13		"5,869"		"25,500"	0.62		3.57	2.77		2.09		Integrated	150	Cold outside & demand		-15	"3,207"	z	"13,500"	0.43		2.44	2.19		1.62
Fujitsu		8004699	AOU9RLS3	ASU9RLS3	Yes	14.2	33	18	Yes	Ductless	Single-zone		"3,100"	"12,000"	"22,000"	0.20	0.66	1.93	4.50	5.33	3.34		"2,286"	"7,000"	"16,000"	0.21	0.59	2.06	3.19	3.46	2.28		"2,150"		"15,000"	0.22		2.10	2.86		2.09		N/A				-5	"1,945"	z	"13,500"	0.22		2.09	2.59		1.89
Fujitsu		7993242	AOU12RLS3	ASU12RLS3	Yes	14	29.3	15.2	Yes	Ductless	Single-zone		"3,100"	"16,000"	"22,110"	0.20	1.01	1.94	4.50	4.64	3.34		"2,491"	"9,600"	"17,500"	0.21	0.85	2.06	3.48	3.30	2.49		"2,320"		"16,500"	0.22		2.10	3.09		2.30		N/A				-5	"2,081"	z	"15,000"	0.22		2.09	2.77		2.10
