	 tmpf 
1-1-18 21:35 EDT	M
1-1-18 21:40 EDT	M
1-1-18 21:45 EDT	M
1-1-18 21:50 EDT	M
1-1-18 21:55 EDT	M
1-1-18 21:56 EDT	8.1
1-1-18 22:00 EDT	M
1-1-18 22:05 EDT	M
1-1-18 22:10 EDT	M
1-1-18 22:15 EDT	M
1-1-18 22:20 EDT	M
1-1-18 22:25 EDT	M
1-1-18 22:30 EDT	M
1-1-18 22:35 EDT	M
1-1-18 22:40 EDT	M
1-1-18 22:45 EDT	M
1-1-18 22:50 EDT	M
1-1-18 22:55 EDT	M
1-1-18 22:56 EDT	6.1
1-1-18 23:00 EDT	M
1-1-18 23:05 EDT	M
1-1-18 23:10 EDT	M
1-1-18 23:15 EDT	M
1-1-18 23:20 EDT	M
1-1-18 23:25 EDT	M
1-1-18 23:30 EDT	M
1-1-18 23:35 EDT	M
1-1-18 23:40 EDT	M
1-1-18 23:45 EDT	M
1-1-18 23:50 EDT	M
1-1-18 23:55 EDT	M
1-1-18 23:56 EDT	5
1-2-18 0:00 EDT	M
1-2-18 0:05 EDT	M
1-2-18 0:10 EDT	M
1-2-18 0:15 EDT	M
1-2-18 0:20 EDT	M
1-2-18 0:25 EDT	M
1-2-18 0:30 EDT	M
1-2-18 0:35 EDT	M
1-2-18 0:40 EDT	M
1-2-18 0:45 EDT	M
1-2-18 0:50 EDT	M
1-2-18 0:55 EDT	M
1-2-18 0:56 EDT	1
1-2-18 1:00 EDT	M
1-2-18 1:05 EDT	M
1-2-18 1:10 EDT	M
1-2-18 1:15 EDT	M
1-2-18 1:20 EDT	M
1-2-18 1:25 EDT	M
1-2-18 1:30 EDT	M
1-2-18 1:35 EDT	M
1-2-18 1:40 EDT	M
1-2-18 1:45 EDT	M
1-2-18 1:50 EDT	M
1-2-18 1:55 EDT	M
1-2-18 1:56 EDT	-5.1
1-2-18 2:00 EDT	M
1-2-18 2:05 EDT	M
1-2-18 2:10 EDT	M
1-2-18 2:15 EDT	M
1-2-18 2:20 EDT	M
1-2-18 2:25 EDT	M
1-2-18 2:30 EDT	M
1-2-18 2:35 EDT	M
1-2-18 2:40 EDT	M
1-2-18 2:45 EDT	M
1-2-18 2:50 EDT	M
1-2-18 2:55 EDT	M
1-2-18 2:56 EDT	-7.1
1-2-18 3:00 EDT	M
1-2-18 3:05 EDT	M
1-2-18 3:10 EDT	M
1-2-18 3:15 EDT	M
1-2-18 3:20 EDT	M
1-2-18 3:25 EDT	M
1-2-18 3:30 EDT	M
1-2-18 3:35 EDT	M
1-2-18 3:40 EDT	M
1-2-18 3:45 EDT	M
1-2-18 3:50 EDT	M
1-2-18 3:55 EDT	M
1-2-18 3:56 EDT	-2
1-2-18 4:00 EDT	M
1-2-18 4:05 EDT	M
1-2-18 4:10 EDT	M
1-2-18 4:15 EDT	M
1-2-18 4:20 EDT	M
1-2-18 4:25 EDT	M
1-2-18 4:30 EDT	M
1-2-18 4:35 EDT	M
1-2-18 4:40 EDT	M
1-2-18 4:45 EDT	M
1-2-18 4:50 EDT	M
1-2-18 4:55 EDT	M
1-2-18 4:56 EDT	-5.1
1-2-18 5:00 EDT	M
1-2-18 5:05 EDT	M
1-2-18 5:10 EDT	M
1-2-18 5:15 EDT	M
1-2-18 5:20 EDT	M
1-2-18 5:25 EDT	M
1-2-18 5:30 EDT	M
1-2-18 5:35 EDT	M
1-2-18 5:40 EDT	M
1-2-18 5:45 EDT	M
1-2-18 5:50 EDT	M
1-2-18 5:55 EDT	M
1-2-18 5:56 EDT	-9
1-2-18 6:00 EDT	M
1-2-18 6:05 EDT	M
